@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
1,'2019/02/23 14:19:40:488',1,8,80,0,0,1
2,'2019/02/23 14:19:40:602',1,8,80,0,0,1
3,'2019/02/23 14:19:41:399',1,9,82,0,0,1
4,'2019/02/23 14:19:41:400',1,9,82,0,0,1
5,'2019/02/23 14:19:41:409',1,9,82,0,0,1
6,'2019/02/23 14:19:41:419',1,9,82,0,0,1
7,'2019/02/23 14:19:41:430',1,9,82,0,0,1
8,'2019/02/23 14:19:41:566',1,9,81,0,0,1
9,'2019/02/23 14:19:41:566',1,9,81,0,0,1
10,'2019/02/23 14:19:41:575',1,9,81,0,0,1
11,'2019/02/23 14:19:41:586',1,9,81,0,0,1
12,'2019/02/23 14:19:41:597',1,9,81,0,0,1
13,'2019/02/23 14:19:41:732',1,9,78,0,0,1
14,'2019/02/23 14:19:41:732',1,9,78,0,0,1
15,'2019/02/23 14:19:41:743',1,9,78,0,0,1
16,'2019/02/23 14:19:41:753',1,9,78,0,0,1
17,'2019/02/23 14:19:41:763',1,9,78,0,0,1
18,'2019/02/23 14:19:41:899',1,8,84,0,0,1
19,'2019/02/23 14:19:41:899',1,8,84,0,0,1
20,'2019/02/23 14:19:41:908',1,8,84,0,0,1
21,'2019/02/23 14:19:41:920',1,8,84,0,0,1
22,'2019/02/23 14:19:41:929',1,8,84,0,0,1
23,'2019/02/23 14:19:42:064',1,8,82,0,0,1
24,'2019/02/23 14:19:42:065',1,8,82,0,0,1
25,'2019/02/23 14:19:42:074',1,8,82,0,0,1
26,'2019/02/23 14:19:42:084',1,8,82,0,0,1
27,'2019/02/23 14:19:42:095',1,8,82,0,0,1
28,'2019/02/23 14:19:42:231',1,7,79,0,0,1
29,'2019/02/23 14:19:42:232',1,7,79,0,0,1
30,'2019/02/23 14:19:42:242',1,7,79,0,0,1
31,'2019/02/23 14:19:42:253',1,7,79,0,0,1
32,'2019/02/23 14:19:42:262',1,7,79,0,0,1
33,'2019/02/23 14:19:42:397',1,7,83,0,0,1
34,'2019/02/23 14:19:42:398',1,7,83,0,0,1
35,'2019/02/23 14:19:42:407',1,7,83,0,0,1
36,'2019/02/23 14:19:42:418',1,7,83,0,0,1
37,'2019/02/23 14:19:42:429',1,7,83,0,0,1
38,'2019/02/23 14:19:42:564',1,7,81,0,0,1
39,'2019/02/23 14:19:42:564',1,7,81,0,0,1
40,'2019/02/23 14:19:42:576',1,7,81,0,0,1
41,'2019/02/23 14:19:42:584',1,7,81,0,0,1
42,'2019/02/23 14:19:42:595',1,7,81,0,0,1
43,'2019/02/23 14:19:42:730',1,7,78,0,0,1
44,'2019/02/23 14:19:42:731',1,7,78,0,0,1
45,'2019/02/23 14:19:42:740',1,7,78,0,0,1
46,'2019/02/23 14:19:42:751',1,7,78,0,0,1
47,'2019/02/23 14:19:42:762',1,7,78,0,0,1
48,'2019/02/23 14:19:42:896',1,7,83,0,0,1
49,'2019/02/23 14:19:42:897',1,7,83,0,0,1
50,'2019/02/23 14:19:42:906',1,7,83,0,0,1
51,'2019/02/23 14:19:42:916',1,7,83,0,0,1
52,'2019/02/23 14:19:42:926',1,7,83,0,0,1
53,'2019/02/23 14:19:43:063',1,8,83,0,0,1
54,'2019/02/23 14:19:43:063',1,8,83,0,0,1
55,'2019/02/23 14:19:43:073',1,8,83,0,0,1
56,'2019/02/23 14:19:43:083',1,8,83,0,0,1
57,'2019/02/23 14:19:43:094',1,8,83,0,0,1
58,'2019/02/23 14:19:43:229',1,7,83,0,0,1
59,'2019/02/23 14:19:43:230',1,7,83,0,0,1
60,'2019/02/23 14:19:43:239',1,7,83,0,0,1
61,'2019/02/23 14:19:43:249',1,7,83,0,0,1
