@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
1,'2019/02/24 18:18:54:290',1,178.600006,135,0.5,0.4,9,0,0,0,1
2,'2019/02/24 18:18:54:340',1,184.800003,138.399994,0.1,0,-7,0,0,0,1
3,'2019/02/24 18:18:54:390',1,183.5,135.5,0,1,3,0,0,0,1
4,'2019/02/24 18:18:54:441',1,183.600006,137.800003,0.5,0.8,1,0,0,0,1
5,'2019/02/24 18:18:54:492',1,180.699997,137.699997,0.5,0,-3,0,0,0,1
6,'2019/02/24 18:18:54:542',1,178.100006,137.5,0.5,1,11,0,0,0,1
7,'2019/02/24 18:18:54:593',1,177.899994,136.199997,0.5,1,11,0,0,0,1
8,'2019/02/24 18:18:54:644',1,183.199997,139.600006,0.5,0.4,-9,0,0,0,1
9,'2019/02/24 18:18:54:696',1,184.699997,138.800003,1,0.6,-11,0,0,0,1
10,'2019/02/24 18:18:54:747',1,181.600006,137.199997,0,0.5,-12,0,0,0,1
11,'2019/02/24 18:18:54:799',1,179,142,1,0,3,0,0,0,1
12,'2019/02/24 18:18:54:849',1,178.5,142.100006,0.5,0,-3,0,0,0,1
13,'2019/02/24 18:18:54:900',1,178.199997,139.600006,2,1.3,8,0,0,0,1
14,'2019/02/24 18:18:54:951',1,178.199997,137.199997,0.5,0,6,0,0,0,1
15,'2019/02/24 18:18:55:003',1,180.899994,139,0,0,-6,0,0,0,1
16,'2019/02/24 18:18:55:053',1,185.399994,141.399994,0,0.3,0,0,0,0,1
17,'2019/02/24 18:18:55:103',1,185.600006,141.300003,0,0.5,2,0,0,0,1
18,'2019/02/24 18:18:55:155',1,183.5,138.199997,1,0.4,-5,0,0,0,1
19,'2019/02/24 18:18:55:206',1,181.800003,139.5,0.5,0,-2,0,0,0,1
20,'2019/02/24 18:18:55:257',1,180.5,137.100006,0,0.5,7,0,0,0,1
21,'2019/02/24 18:18:55:308',1,181.699997,138.600006,0,0,10,0,0,0,1
22,'2019/02/24 18:18:55:358',1,186.899994,140.600006,1,1.4,-15,0,0,0,1
23,'2019/02/24 18:18:55:410',1,182.899994,137.399994,0,0,-11,0,0,0,1
24,'2019/02/24 18:18:55:461',1,185.199997,139.800003,0,0.4,-3,0,0,0,1
25,'2019/02/24 18:18:55:512',1,180,138.300003,0,0.5,-4,0,0,0,1
26,'2019/02/24 18:18:55:563',1,180.100006,138.899994,0,0.5,-5,0,0,0,1
27,'2019/02/24 18:18:55:614',1,179,138.600006,0,0,8,0,0,0,1
28,'2019/02/24 18:18:55:665',1,186.100006,139.800003,0,0,-11,0,0,0,1
29,'2019/02/24 18:18:55:716',1,184.399994,139.100006,0.5,0,-10,0,0,0,1
30,'2019/02/24 18:18:55:768',1,181.800003,141.300003,1,0.7,-4,0,0,0,1
31,'2019/02/24 18:18:55:818',1,182.100006,139.600006,0,0,2,0,0,0,1
32,'2019/02/24 18:18:55:869',1,179.699997,139.399994,0.5,1,-3,0,0,0,1
33,'2019/02/24 18:18:55:920',1,180.199997,136.399994,0,0.5,10,0,0,0,1
34,'2019/02/24 18:18:55:971',1,181.199997,136.399994,1.5,0.8,9,0,0,0,1
35,'2019/02/24 18:18:56:023',1,183.800003,137.600006,0.5,0.6,-11,0,0,0,1
36,'2019/02/24 18:18:56:075',1,182,135.199997,0,0,-9,0,0,0,1
37,'2019/02/24 18:18:56:126',1,182.300003,139.800003,0.3,0,2,0,0,0,1
38,'2019/02/24 18:18:56:177',1,182.600006,137.800003,0,0,-3,0,0,0,1
