@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
2730,'2019/02/24 20:49:26:541',11,295.700012,424.799988,0.9,0,-3,-6,0,0,1
2731,'2019/02/24 20:49:26:592',11,299,423.5,0,0.5,0,-4,0,0,1
2732,'2019/02/24 20:49:26:644',11,298.100006,424.600006,0.5,1.2,0,-6,0,-3,1
2733,'2019/02/24 20:49:26:695',11,295.799988,417.799988,1.5,1.2,0,0,0,0,1
2734,'2019/02/24 20:49:26:746',11,288.299988,422.899994,0,1.5,-5,-15,0,0,1
2735,'2019/02/24 20:49:26:798',11,288.100006,421,0,0.5,-4,-20,0,0,1
2736,'2019/02/24 20:49:26:849',11,298,424.399994,2.2,0,-8,-20,-4,0,1
2737,'2019/02/24 20:49:26:901',11,303.200012,423.600006,0,1,-10,-8,0,-2,1
2738,'2019/02/24 20:49:26:952',11,302.200012,425.200012,1,1.6,-10,0,0,-4,1
2739,'2019/02/24 20:49:27:003',11,295.200012,423,1.5,0,-2,-7,-3,0,1
2740,'2019/02/24 20:49:27:055',11,294.899994,423.799988,1.5,0.6,-1,-12,-1,0,1
2741,'2019/02/24 20:49:27:106',11,291.899994,423,0,0,-12,-20,0,0,1
2742,'2019/02/24 20:49:27:158',11,298.799988,423.399994,0,1,-11,-16,0,0,1
2743,'2019/02/24 20:49:27:208',11,303.600006,427.200012,0.5,0,-12,-4,0,0,1
2744,'2019/02/24 20:49:27:259',11,302.200012,425.200012,0,0,-5,-6,0,0,1
2745,'2019/02/24 20:49:27:311',11,299.799988,419.200012,0,0.5,0,-8,0,-5,1
2746,'2019/02/24 20:49:27:361',11,299.200012,421.100006,1.5,1.2,0,-5,-3,0,1
2747,'2019/02/24 20:49:27:413',11,302.899994,417.399994,0,0,-6,-19,0,0,1
2748,'2019/02/24 20:49:27:464',11,297.600006,419,0.5,1.2,-1,0,0,-3,1
2749,'2019/02/24 20:49:27:516',11,299.799988,422.600006,1,0.6,-10,-16,0,0,1
2750,'2019/02/24 20:49:27:568',11,303.600006,425.200012,0,1.9,-9,-6,0,0,1
2751,'2019/02/24 20:49:27:619',11,303.600006,423.399994,0.9,0,-9,-5,0,0,1
2752,'2019/02/24 20:49:27:670',11,297.799988,425.899994,0.5,0,-6,-5,0,0,1
2753,'2019/02/24 20:49:27:720',11,299.100006,425,0,0,-2,-6,0,0,1
2754,'2019/02/24 20:49:27:772',11,303.200012,426.399994,0,0,-6,-14,0,0,1
2755,'2019/02/24 20:49:27:822',11,309.200012,430,0,0,-21,-15,0,0,1
2756,'2019/02/24 20:49:27:874',11,303.899994,427.399994,0,0.5,-16,-21,0,-1,1
2757,'2019/02/24 20:49:27:926',11,298.399994,426.600006,0,1,-8,-6,0,0,1
2758,'2019/02/24 20:49:27:977',11,302.700012,429.399994,1,0.8,-11,0,-2,-2,1
2759,'2019/02/24 20:49:28:029',11,292.899994,426.399994,0.1,0,-3,-4,-1,0,1
2760,'2019/02/24 20:49:28:080',11,298,429.799988,0.4,0,0,-6,-1,0,1
2761,'2019/02/24 20:49:28:132',11,296.5,432.799988,0,0.5,-1,-12,0,0,1
2762,'2019/02/24 20:49:28:182',11,300.299988,431.799988,0,0.1,-14,-18,0,-1,1
2763,'2019/02/24 20:49:28:233',11,299.200012,432.200012,0.5,0.6,-10,-12,0,0,1
2764,'2019/02/24 20:49:28:283',11,303,433,0,0.5,-10,-6,0,-1,1
2765,'2019/02/24 20:49:28:334',11,301.100006,433.899994,0,0.4,-8,-6,0,0,1
2766,'2019/02/24 20:49:28:385',11,300.799988,426.799988,0,0.1,-2,-6,0,-1,1
2767,'2019/02/24 20:49:28:436',11,296.600006,429.600006,0.2,0,-12,-14,-1,0,1
2768,'2019/02/24 20:49:28:487',11,292.399994,427,0.1,0,-3,-19,-1,0,1
2769,'2019/02/24 20:49:28:538',11,300,436.600006,1,0,-18,-8,0,0,1
2770,'2019/02/24 20:49:28:589',11,297.399994,431.700012,0,0,-14,-22,0,0,1
2771,'2019/02/24 20:49:28:640',11,298.399994,431.200012,0,0,-10,-6,0,0,1
2772,'2019/02/24 20:49:28:692',11,297.600006,430.799988,0.5,0,-2,-3,-1,0,1
2773,'2019/02/24 20:49:28:743',11,289.200012,424.899994,0.5,0,0,-3,-1,0,1
2774,'2019/02/24 20:49:28:794',11,294.200012,425.799988,1.5,1.8,-5,0,0,0,1
2775,'2019/02/24 20:49:28:846',11,293.200012,428.399994,0,0.1,-3,-19,0,-1,1
2776,'2019/02/24 20:49:28:897',11,296.5,431,0.5,0.6,-12,-10,-1,0,1
2777,'2019/02/24 20:49:28:949',11,299,432.799988,0.5,1.8,-14,-18,0,0,1
2778,'2019/02/24 20:49:29:000',11,299.299988,427.200012,1.4,0.5,-9,-6,0,0,1
2779,'2019/02/24 20:49:29:051',11,297.200012,422.399994,0.5,0.2,0,-6,0,-2,1
2780,'2019/02/24 20:49:29:101',11,295.799988,427.700012,0.5,0,-4,-7,0,0,1
2781,'2019/02/24 20:49:29:152',11,298.200012,422.799988,0.1,0,0,-5,-1,0,1
2782,'2019/02/24 20:49:29:203',11,299,427,0.5,0,-9,-10,0,0,1
2783,'2019/02/24 20:49:29:254',11,298.299988,429.100006,0.5,0,-10,-17,0,0,1
2784,'2019/02/24 20:49:29:306',11,294.700012,428.799988,1,0,-5,-6,-2,0,1
2785,'2019/02/24 20:49:29:357',11,298.899994,430.399994,0,0,-16,0,0,0,1
2786,'2019/02/24 20:49:29:409',11,299.5,426.600006,0.5,1.8,0,-6,-1,0,1
2787,'2019/02/24 20:49:29:460',11,297.799988,429.399994,0.5,0,-1,-5,0,0,1
2788,'2019/02/24 20:49:29:511',11,300.100006,423.600006,0,2,-13,-20,0,0,1
2789,'2019/02/24 20:49:29:561',11,299.899994,432,0,1.5,-19,-10,0,-1,1
2790,'2019/02/24 20:49:29:612',11,298.799988,437.899994,0,0.5,-11,-20,0,-1,1
2791,'2019/02/24 20:49:29:664',11,298.399994,432.700012,0,0,-8,-2,0,0,1
2792,'2019/02/24 20:49:29:716',11,295.799988,441.100006,0,1,-8,-7,0,-2,1
2793,'2019/02/24 20:49:29:768',11,293.600006,437.5,0,0.5,-3,-4,0,-1,1
2794,'2019/02/24 20:49:29:819',11,295,430.700012,0.5,0,-4,-21,0,0,1
2795,'2019/02/24 20:49:29:870',11,297.600006,438.200012,0,0,-10,-4,0,0,1
2796,'2019/02/24 20:49:29:922',11,301.700012,433.799988,0,0.2,-12,-29,0,-2,1
2797,'2019/02/24 20:49:29:973',11,297.799988,433.600006,0,0.5,-8,-13,0,0,1
2798,'2019/02/24 20:49:30:023',11,294.600006,439.600006,0,0,-12,-1,0,0,1
2799,'2019/02/24 20:49:30:074',11,288.799988,433,0.6,0.5,-8,-4,-1,0,1
2800,'2019/02/24 20:49:30:125',11,289.200012,430.799988,0.4,0,0,-6,-1,0,1
2801,'2019/02/24 20:49:30:177',11,288,428,0.5,0.8,-4,0,0,-2,1
2802,'2019/02/24 20:49:30:229',11,289.399994,429,0.5,0,-10,-14,-1,0,1
2803,'2019/02/24 20:49:30:279',11,292.899994,431.200012,0.8,1,-9,-15,-2,0,1
2804,'2019/02/24 20:49:30:331',11,302.100006,435.200012,1,0,-7,-14,-2,0,1
2805,'2019/02/24 20:49:30:382',11,301.899994,437,0.2,1.5,-13,0,-2,-1,1
2806,'2019/02/24 20:49:30:432',11,294.299988,432.600006,0,0,-10,-4,0,0,1
2807,'2019/02/24 20:49:30:483',11,290.100006,428.799988,0,0.2,-7,-7,0,-2,1
2808,'2019/02/24 20:49:30:534',11,291.700012,425.399994,0,1,-5,-18,0,-2,1
2809,'2019/02/24 20:49:30:586',11,289.600006,427.600006,0.5,1.2,-6,0,-1,0,1
2810,'2019/02/24 20:49:30:637',11,293.399994,431,0.5,0,-12,-17,-1,0,1
2811,'2019/02/24 20:49:30:688',11,295.200012,434,1,0,-12,-4,-2,0,1
2812,'2019/02/24 20:49:30:739',11,291.200012,432.799988,1,1.4,-6,0,0,-1,1
2813,'2019/02/24 20:49:30:791',11,292.600006,432.799988,0.5,0.4,-12,0,0,-1,1
2814,'2019/02/24 20:49:30:843',11,293,436.399994,0,0.5,-8,-4,0,-1,1
2815,'2019/02/24 20:49:30:894',11,292,435.399994,2,1,-2,-14,0,0,1
2816,'2019/02/24 20:49:30:946',11,296,441.399994,1,0.1,-10,-15,0,-1,1
2817,'2019/02/24 20:49:30:998',11,297.200012,438.399994,0,0,-12,-15,0,0,1
2818,'2019/02/24 20:49:31:049',11,302.100006,435.600006,0.9,0,-8,-11,0,0,1
2819,'2019/02/24 20:49:31:100',11,298.100006,437.200012,1,0.4,-14,0,0,-1,1
2820,'2019/02/24 20:49:31:151',11,289.299988,433.100006,0.5,0,-5,-5,-1,0,1
2821,'2019/02/24 20:49:31:201',11,292,437,1.5,0,-6,-6,0,0,1
2822,'2019/02/24 20:49:31:252',11,294.899994,438.200012,0,2.7,-6,-14,0,0,1
2823,'2019/02/24 20:49:31:303',11,297.5,443.200012,0.4,0,-21,-11,-1,0,1
2824,'2019/02/24 20:49:31:354',11,292.399994,440.799988,1,0.8,-12,-18,0,-2,1
2825,'2019/02/24 20:49:31:405',11,297.600006,439.5,0.5,0,-20,0,0,0,1
2826,'2019/02/24 20:49:31:456',11,297.799988,432,0,1.5,-10,-8,0,-3,1
2827,'2019/02/24 20:49:31:507',11,299.799988,434,0.1,0,-17,-7,-1,0,1
2828,'2019/02/24 20:49:31:559',11,295.600006,427.299988,0.5,0,-2,0,0,0,1
2829,'2019/02/24 20:49:31:610',11,295.5,430.200012,0.3,1,-5,-17,-3,0,1
2830,'2019/02/24 20:49:31:660',11,302.700012,435.200012,0.9,0,-8,0,-2,0,1
2831,'2019/02/24 20:49:31:712',11,299.899994,439,0,0,-11,-12,0,0,1
2832,'2019/02/24 20:49:31:764',11,297.899994,443,1.1,0,-11,-2,-1,0,1
2833,'2019/02/24 20:49:31:816',11,303.5,437,0,0.5,-15,-4,0,0,1
2834,'2019/02/24 20:49:31:866',11,291.100006,430.600006,0.9,2,-9,-8,0,0,1
2835,'2019/02/24 20:49:31:919',11,291.899994,420.200012,1.5,0.6,-9,-2,-3,0,1
2836,'2019/02/24 20:49:31:971',11,295.899994,425.200012,0,0,-11,-13,0,0,1
2837,'2019/02/24 20:49:32:022',11,294,426.5,0,0,-5,-2,0,0,1
2838,'2019/02/24 20:49:32:072',11,291.200012,436.200012,0.5,0.8,-16,-17,-1,-2,1
2839,'2019/02/24 20:49:32:123',11,291.399994,428.600006,0,0,-10,-4,0,0,1
2840,'2019/02/24 20:49:32:175',11,293.899994,429.5,1,0,-9,-5,0,0,1
