@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
15715,'2019/02/25 20:20:19:370',17,103.199997,295.899994,0,0,0,?,?,?,?,?,?,?,?
15716,'2019/02/25 20:20:19:371',17,101.800003,294.799988,0,0,0,?,?,?,?,?,?,?,?
15717,'2019/02/25 20:20:19:371',17,100.400002,294.899994,0,0,0,?,?,?,?,?,?,?,?
15718,'2019/02/25 20:20:19:371',17,99.400002,295,0,0,0,?,?,?,?,?,?,?,?
15719,'2019/02/25 20:20:19:383',17,98.400002,295.700012,0,0,0,?,?,?,?,?,?,?,?
15720,'2019/02/25 20:20:19:383',17,98.400002,296.399994,0,0,0,?,?,?,?,?,?,?,?
15721,'2019/02/25 20:20:19:383',17,98.599998,296.200012,0,0,0,?,?,?,?,?,?,?,?
15722,'2019/02/25 20:20:19:400',17,98.800003,294.799988,0,0,0,?,?,?,?,?,?,?,?
15723,'2019/02/25 20:20:19:400',17,99,293.399994,0,0,0,?,?,?,?,?,?,?,?
15724,'2019/02/25 20:20:19:400',17,99.599998,292,0,0,0,?,?,?,?,?,?,?,?
15725,'2019/02/25 20:20:19:400',17,99.5,291.399994,0,0,0,?,?,?,?,?,?,?,?
15726,'2019/02/25 20:20:19:400',17,99.400002,291.600006,0,0,0,?,?,?,?,?,?,?,?
15727,'2019/02/25 20:20:19:400',17,99.300003,291.799988,0,0,0,?,?,?,?,?,?,?,?
15728,'2019/02/25 20:20:19:400',17,98.800003,292,0,0,0,?,?,?,?,?,?,?,?
15729,'2019/02/25 20:20:19:400',17,97.800003,291.600006,0,0,0,?,?,?,?,?,?,?,?
15730,'2019/02/25 20:20:19:429',17,96.800003,290.5,0,0,0,?,?,?,?,?,?,?,?
15731,'2019/02/25 20:20:19:429',17,95.599998,289.399994,0,0,0,?,?,?,?,?,?,?,?
15732,'2019/02/25 20:20:19:429',17,94.400002,289.5,0,0,0,?,?,?,?,?,?,?,?
15733,'2019/02/25 20:20:19:429',17,93.300003,289.600006,0,0,0,?,?,?,?,?,?,?,?
15734,'2019/02/25 20:20:19:444',17,92.199997,290.399994,0,0,0,?,?,?,?,?,?,?,?
15735,'2019/02/25 20:20:19:444',17,91.800003,291.200012,0,0,0,?,?,?,?,?,?,?,?
