@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
1,'2019/04/11 20:43:40:335',1,444.399994,319,0,372.700012,944.700012,0,?,?,?,?,?,?,?,?,?
2,'2019/04/11 20:43:40:341',1,441.399994,329.799988,0,372.899994,944.799988,0,?,?,?,?,?,?,?,?,?
3,'2019/04/11 20:43:40:342',1,438.399994,340.600006,0,373.100006,944.900024,0,?,?,?,?,?,?,?,?,?
4,'2019/04/11 20:43:40:342',1,436.5,351.399994,0,373.299988,945,0,?,?,?,?,?,?,?,?,?
5,'2019/04/11 20:43:40:342',1,431.5,362.200012,0,373.5,945,0,?,?,?,?,?,?,?,?,?
6,'2019/04/11 20:43:40:352',1,426.5,373,0,373.600006,945.099976,0,?,?,?,?,?,?,?,?,?
7,'2019/04/11 20:43:40:353',1,421.5,379.399994,0,373.600006,945.200012,0,?,?,?,?,?,?,?,?,?
8,'2019/04/11 20:43:40:353',1,416.5,391.5,0,373.600006,945.299988,0,?,?,?,?,?,?,?,?,?
9,'2019/04/11 20:43:40:353',1,411.5,403.600006,0,373.600006,945.400024,0,?,?,?,?,?,?,?,?,?
10,'2019/04/11 20:43:40:353',1,408.399994,415.700012,0,373.600006,945.5,0,?,?,?,?,?,?,?,?,?
11,'2019/04/11 20:43:40:353',1,400.200012,427.799988,0,373.5,945.599976,0,?,?,?,?,?,?,?,?,?
12,'2019/04/11 20:43:40:365',1,392,435.899994,0,373.399994,945.700012,0,?,?,?,?,?,?,?,?,?
13,'2019/04/11 20:43:40:365',1,383.799988,444,0,373.299988,945.799988,0,?,?,?,?,?,?,?,?,?
14,'2019/04/11 20:43:40:366',1,375.600006,452.100006,0,373.200012,945.900024,0,?,?,?,?,?,?,?,?,?
15,'2019/04/11 20:43:40:366',1,364.200012,460.200012,0,373.100006,946,0,?,?,?,?,?,?,?,?,?
16,'2019/04/11 20:43:40:380',1,352.799988,468.299988,0,373.100006,946,0,?,?,?,?,?,?,?,?,?
17,'2019/04/11 20:43:40:381',1,341.399994,478.299988,0,373.200012,946,0,?,?,?,?,?,?,?,?,?
18,'2019/04/11 20:43:40:381',1,330,482.600006,0,373.299988,946,0,?,?,?,?,?,?,?,?,?
19,'2019/04/11 20:43:40:381',1,318.600006,486.899994,0,373.399994,946,0,?,?,?,?,?,?,?,?,?
20,'2019/04/11 20:43:40:383',1,304.100006,491.200012,0,373.5,946,0,?,?,?,?,?,?,?,?,?
21,'2019/04/11 20:43:40:396',1,294.700012,495.5,0,373.600006,945.900024,0,?,?,?,?,?,?,?,?,?
22,'2019/04/11 20:43:40:396',1,285.299988,497.399994,0,373.600006,945.799988,0,?,?,?,?,?,?,?,?,?
23,'2019/04/11 20:43:40:396',1,275.899994,504.299988,0,373.600006,945.700012,0,?,?,?,?,?,?,?,?,?
24,'2019/04/11 20:43:40:397',1,266.5,511.200012,0,373.600006,945.599976,0,?,?,?,?,?,?,?,?,?
25,'2019/04/11 20:43:40:397',1,263.399994,518.099976,0,373.600006,945.5,0,?,?,?,?,?,?,?,?,?
26,'2019/04/11 20:43:40:397',1,259.299988,525,0,373.5,945.400024,0,?,?,?,?,?,?,?,?,?
27,'2019/04/11 20:43:40:409',1,255.199997,530,0,373.399994,945.200012,0,?,?,?,?,?,?,?,?,?
28,'2019/04/11 20:43:40:409',1,251.100006,535,0,373.399994,945,0,?,?,?,?,?,?,?,?,?
29,'2019/04/11 20:43:40:410',1,247,544.299988,0,373.399994,944.799988,0,?,?,?,?,?,?,?,?,?
