@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric

@data
8587,'2019/04/09 19:08:38:450',11,139.300003,163,941,933.5,0,5.049,0,1,0,72.39,100,15
8588,'2019/04/09 19:08:38:452',11,140.699997,162.600006,941,933.5,0,5.049,0,1,0,72.39,100,15
8589,'2019/04/09 19:08:38:452',11,142.100006,162.199997,941,933.5,0,5.049,0,1,0,72.39,100,15
8590,'2019/04/09 19:08:38:452',11,143.5,161.800003,941,933.5,0,5.049,0,1,0,72.39,100,15
8591,'2019/04/09 19:08:38:452',11,144.699997,161.399994,941,933.5,0,5.049,0,1,0,72.39,100,15
8592,'2019/04/09 19:08:38:466',11,145.899994,161,941,933.400024,0,5.049,0,1,0,72.39,100,15
8593,'2019/04/09 19:08:38:466',11,147.100006,160.800003,940.900024,933.299988,0,5.049,0,1,0,72.39,100,15
8594,'2019/04/09 19:08:38:466',11,148.300003,160.199997,940.799988,933.200012,0,5.049,0,1,0,72.39,100,15
8595,'2019/04/09 19:08:38:466',11,149.5,159.600006,940.700012,933.099976,0,5.049,0,1,0,72.39,100,15
8596,'2019/04/09 19:08:38:467',11,150,159,940.599976,933,0,5.049,0,1,0,72.39,100,15
8597,'2019/04/09 19:08:38:467',11,150.600006,158.399994,940.5,933,0,5.049,0,1,0,72.39,100,15
8598,'2019/04/09 19:08:38:480',11,151.199997,158,940.400024,933,0,5.049,0,1,0,72.39,100,15
8599,'2019/04/09 19:08:38:480',11,151.800003,157.600006,940.400024,933,0,5.049,0,1,0,72.39,100,15
8600,'2019/04/09 19:08:38:480',11,152.399994,156.600006,940.400024,933,0,5.049,0,1,0,72.39,100,15
8601,'2019/04/09 19:08:38:480',11,152.5,155.600006,940.400024,933,0,5.049,0,1,0,72.39,100,15
8602,'2019/04/09 19:08:38:480',11,152.600006,154.600006,940.400024,933,0,5.049,0,1,0,72.39,100,15
8603,'2019/04/09 19:08:38:480',11,153.100006,153.600006,940.5,933,0,5.049,0,1,0,72.39,100,15
8604,'2019/04/09 19:08:38:496',11,153.600006,153,940.700012,933,0,5.049,0,1,0,72.39,100,15
8605,'2019/04/09 19:08:38:496',11,154.100006,152.199997,940.900024,933,0,5.049,0,1,0,72.39,100,15
8606,'2019/04/09 19:08:38:496',11,154.600006,151.399994,941.099976,933,0,5.049,0,1,0,72.39,100,15
8607,'2019/04/09 19:08:38:496',11,155,150.600006,941.299988,933,0,5.049,0,1,0,72.39,100,15
8608,'2019/04/09 19:08:38:496',11,155.899994,149.800003,941.5,933,0,5.049,0,1,0,72.39,100,15
8609,'2019/04/09 19:08:38:511',11,156.800003,149,941.599976,932.900024,0,5.049,0,1,0,72.39,100,15
8610,'2019/04/09 19:08:38:511',11,157.699997,148.899994,941.700012,932.799988,0,5.049,0,1,0,72.39,100,15
8611,'2019/04/09 19:08:38:511',11,158.600006,148.800003,941.799988,932.700012,0,5.049,0,1,0,72.39,100,15
8612,'2019/04/09 19:08:38:511',11,159.5,148.699997,941.900024,932.599976,0,5.049,0,1,0,72.39,100,15
8613,'2019/04/09 19:08:38:525',11,160,148.600006,942,932.5,0.1,5.049,0,1,0,72.39,100,15
8614,'2019/04/09 19:08:38:525',11,160.5,148.5,942,932.5,0.2,5.049,0,1,0,72.39,100,15
8615,'2019/04/09 19:08:38:525',11,161,148.300003,942,932.5,0.3,5.049,0,1,0,72.39,100,15
8616,'2019/04/09 19:08:38:525',11,161.5,148.100006,942,932.5,0.4,5.049,0,1,0,72.39,100,15
8617,'2019/04/09 19:08:38:525',11,162,147.899994,942,932.5,0.5,5.049,0,1,0,72.39,100,15
8618,'2019/04/09 19:08:38:525',11,161.800003,147.699997,942,932.5,0.6,5.049,0,1,0,72.39,100,15
8619,'2019/04/09 19:08:38:540',11,161.600006,147,942,932.599976,0.7,5.049,0,1,0,72.39,100,15
8620,'2019/04/09 19:08:38:540',11,161.399994,146.199997,942,932.700012,0.8,5.049,0,1,0,72.39,100,15
8621,'2019/04/09 19:08:38:540',11,161.399994,145.399994,942,932.799988,0.9,5.049,0,1,0,72.39,100,15
8622,'2019/04/09 19:08:38:558',11,161.399994,144.600006,942,932.900024,0.9,5.049,0,1,0,72.39,100,15
8623,'2019/04/09 19:08:38:558',11,161.399994,143.600006,942,933,0.8,5.049,0,1,0,72.39,100,15
8624,'2019/04/09 19:08:38:558',11,161.399994,142.600006,942,933,0.7,5.049,0,1,0,72.39,100,15
8625,'2019/04/09 19:08:38:558',11,161.399994,141.899994,942,933,0.6,5.049,0,1,0,72.39,100,15
8626,'2019/04/09 19:08:38:558',11,161.800003,141.199997,942,933,0.5,5.049,0,1,0,72.39,100,15
8627,'2019/04/09 19:08:38:558',11,162.199997,140.5,942,933,0.4,5.049,0,1,0,72.39,100,15
8628,'2019/04/09 19:08:38:558',11,162.600006,139.800003,942,933,0.3,5.049,0,1,0,72.39,100,15
8629,'2019/04/09 19:08:38:585',11,163,139.300003,942,933,0.2,5.049,0,1,0,72.39,100,15
8630,'2019/04/09 19:08:38:585',11,163.399994,138.800003,942,933,0.1,5.049,0,1,0,72.39,100,15
8631,'2019/04/09 19:08:38:586',11,163.600006,138.300003,942,933,0,5.049,0,1,0,72.39,100,15
8632,'2019/04/09 19:08:38:586',11,163.5,137.800003,942,933,0,5.049,0,1,0,72.39,100,15
8633,'2019/04/09 19:08:38:600',11,163.399994,137.5,942,933.099976,0,5.049,0,1,0,72.39,100,15
8634,'2019/04/09 19:08:38:600',11,163.300003,136.699997,942,933.200012,0,5.049,0,1,0,72.39,100,15
8635,'2019/04/09 19:08:38:601',11,163.199997,135.899994,942,933.299988,0,5.049,0,1,0,72.39,100,15
8636,'2019/04/09 19:08:38:601',11,162.899994,135.100006,942,933.400024,0,5.049,0,1,0,72.39,100,15
8637,'2019/04/09 19:08:38:616',11,162.600006,134.300003,942,933.5,0.1,5.049,0,1,0,72.39,100,15
8638,'2019/04/09 19:08:38:616',11,162.5,133.5,942,933.5,0.2,5.049,0,1,0,72.39,100,15
8639,'2019/04/09 19:08:38:616',11,162.399994,132.800003,942,933.5,0.3,5.049,0,1,0,72.39,100,15
8640,'2019/04/09 19:08:38:616',11,162.300003,132.100006,942,933.5,0.4,5.049,0,1,0,72.39,100,15
8641,'2019/04/09 19:08:38:616',11,162.199997,131.399994,942,933.5,0.5,5.049,0,1,0,72.39,100,15
8642,'2019/04/09 19:08:38:616',11,162.5,130.699997,942,933.5,0.6,5.049,0,1,0,72.39,100,15
8643,'2019/04/09 19:08:38:630',11,162.800003,130,942,933.400024,0.6,5.049,0,1,0,72.39,100,15
8644,'2019/04/09 19:08:38:631',11,163.100006,129.800003,942,933.400024,0.6,5.049,0,1,0,72.39,100,15
