@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
1,'2018/10/17 13:28:51:551',1,125,2,0,?,?,?,?,?,?,?,?,?,?
2,'2018/10/17 13:28:51:556',1,125,2,0,?,?,?,?,?,?,?,?,?,?
3,'2018/10/17 13:28:51:562',1,125,2,0,?,?,?,?,?,?,?,?,?,?
4,'2018/10/17 13:28:51:617',1,91,0,0,?,?,?,?,?,?,?,?,?,?
5,'2018/10/17 13:28:51:617',1,91,0,0,?,?,?,?,?,?,?,?,?,?
6,'2018/10/17 13:28:51:636',1,83,4,3,?,?,?,?,?,?,?,?,?,?
7,'2018/10/17 13:28:51:636',1,83,4,3,?,?,?,?,?,?,?,?,?,?
8,'2018/10/17 13:28:51:647',1,83,4,3,?,?,?,?,?,?,?,?,?,?
9,'2018/10/17 13:28:51:736',1,80,1,3,?,?,?,?,?,?,?,?,?,?
10,'2018/10/17 13:28:51:737',1,80,1,3,?,?,?,?,?,?,?,?,?,?
11,'2018/10/17 13:28:51:748',1,80,1,3,?,?,?,?,?,?,?,?,?,?
12,'2018/10/17 13:28:51:773',1,96,0,1,?,?,?,?,?,?,?,?,?,?
13,'2018/10/17 13:28:51:773',1,96,0,1,?,?,?,?,?,?,?,?,?,?
14,'2018/10/17 13:28:51:784',1,96,0,1,?,?,?,?,?,?,?,?,?,?
15,'2018/10/17 13:28:51:840',1,85,0,0,?,?,?,?,?,?,?,?,?,?
16,'2018/10/17 13:28:51:840',1,85,0,0,?,?,?,?,?,?,?,?,?,?
17,'2018/10/17 13:28:51:916',1,77,5,4,?,?,?,?,?,?,?,?,?,?
18,'2018/10/17 13:28:51:916',1,77,5,4,?,?,?,?,?,?,?,?,?,?
19,'2018/10/17 13:28:51:927',1,77,5,4,?,?,?,?,?,?,?,?,?,?
20,'2018/10/17 13:28:52:175',1,88,2,4,?,?,?,?,?,?,?,?,?,?
21,'2018/10/17 13:28:52:175',1,88,2,4,?,?,?,?,?,?,?,?,?,?
22,'2018/10/17 13:28:52:380',1,99,0,3,?,?,?,?,?,?,?,?,?,?
