@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
1,'2018/09/21 18:01:23:219',1,920.58075,485.689331,939.303833,631.377136,953.917236,776.930054,947.334412,822.989563,967.073486,808.486816,940.939148,857.949463,744.249329,486.910767,703.767334,624.720886,676.551575,750.035156,678.516174,799.674072,703.666748,798.808167,671.310303,846.503113,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
2,'2018/09/21 18:01:23:312',1,920.539978,485.542267,939.589966,631.401306,954.147949,777.184143,947.400208,822.961426,965.804749,809.102539,943.028931,856.163574,744.344727,487.030304,704.227356,625.00354,677.23645,748.863586,679.867493,798.59021,704.472839,798.693604,672.856689,846.504761,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
3,'2018/09/21 18:01:23:401',1,921.003906,486.939362,939.642944,631.464233,954.34137,776.898071,947.446716,823.753418,963.622559,829.654907,939.00769,862.297607,745.278076,487.92923,704.598877,625.378906,677.648926,748.003784,679.310669,798.510498,705.084351,788.206848,673.153503,847.105469,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
4,'2018/09/21 18:01:23:483',1,920.896179,486.376282,939.713806,631.566345,954.376465,777.052185,947.10907,823.654663,963.673035,828.147827,941.020203,862.041504,745.247314,487.926483,704.758484,625.584473,678.038025,747.312073,679.808044,796.89209,704.613586,798.989807,672.212524,844.966553,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
5,'2018/09/21 18:01:23:557',1,920.885925,486.129059,939.772705,631.540771,954.457214,776.680481,947.139099,822.771362,965.541992,811.170288,942.088867,857.822266,745.259277,487.885071,705.022095,625.765198,678.108093,746.977539,680.051575,796.872986,705.226807,795.361816,669.887573,844.455811,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
6,'2018/09/21 18:01:23:637',1,920.892456,485.868622,939.732605,631.487854,954.313538,778.549194,947.283081,822.893311,966.689026,807.181519,941.534973,858.771606,745.273315,487.804626,705.252197,625.81543,678.150696,747.381775,679.111511,798.047729,704.795105,795.8703,668.481323,845.00647,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
7,'2018/09/21 18:01:23:705',1,920.878174,485.677216,939.770508,631.453308,954.375977,778.39093,947.304077,822.920654,966.186584,820.093384,938.805115,862.661865,745.287537,487.733704,705.364746,625.852051,678.093323,747.457642,678.576416,798.485229,704.696289,798.405701,667.62085,845.101318,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
8,'2018/09/21 18:01:23:775',1,920.829895,485.462708,939.790222,631.432983,954.49762,777.998169,947.408386,822.764648,966.067688,813.157837,941.200806,858.362671,745.272339,487.651123,705.394348,625.899048,678.348083,747.541077,678.630554,797.337402,704.949463,785.917542,667.249939,844.693542,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
9,'2018/09/21 18:01:23:850',1,920.845032,485.340607,939.67865,631.361328,955.202698,783.885925,951.159912,830.453491,973.556702,838.296997,958.527405,872.268616,745.279663,487.585754,705.451782,626.173523,678.237976,747.513733,678.169312,796.650391,702.218262,806.106689,664.335083,844.425537,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
10,'2018/09/21 18:01:23:922',1,920.780396,485.137024,939.447998,631.657654,956.878052,784.160583,963.524475,828.708252,993.51178,836.431641,979.006958,873.905151,745.346252,487.50354,705.396729,626.254456,678.004456,747.580566,674.691406,798.195435,700.403809,802.721313,655.841309,845.07312,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
