@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
431,'2019/02/08 17:35:35:290',3,105.071457,162.036942,212.521011,236.608688,237.576767,258.169891,64.397247,134.058716,212.462173,233.630814,241.439255,253.308945,0.036844,0.032463,0.02897,0.035446,0.046172,0.02093,0.829999,132,0,0,0,349.228241,0.63,0.95,1
432,'2019/02/08 17:35:35:292',3,105.071457,162.036942,212.521011,236.608688,237.576767,258.169891,64.397247,134.058716,212.462173,233.630814,241.439255,253.308945,0.036844,0.032463,0.02897,0.035446,0.046172,0.02093,0.829999,132,0,0,0,349.228241,0.63,0.95,1
433,'2019/02/08 17:35:35:359',3,103.777443,159.980484,211.995346,235.631653,235.908386,255.706573,64.111115,141.27533,219.064117,240.408585,239.455597,260.129364,0.036441,0.03334,0.028034,0.041954,0.047155,0.024688,0.829999,132,0,0,0,349.228241,0.63,0.95,1
434,'2019/02/08 17:35:35:359',3,103.777443,159.980484,211.995346,235.631653,235.908386,255.706573,64.111115,141.27533,219.064117,240.408585,239.455597,260.129364,0.036441,0.03334,0.028034,0.041954,0.047155,0.024688,0.829999,132,0,0,0,349.228241,0.63,0.95,1
435,'2019/02/08 17:35:35:429',3,99.084488,153.474457,206.870682,229.16806,233.82576,249.171082,70.006104,146.348572,221.854477,240.885803,245.604996,261.360107,0.035547,0.034086,0.027107,0.042915,0.048021,0.025062,0.829999,132,0,0,0,349.228241,0.63,0.95,1
436,'2019/02/08 17:35:35:430',3,99.084488,153.474457,206.870682,229.16806,233.82576,249.171082,70.006104,146.348572,221.854477,240.885803,245.604996,261.360107,0.035547,0.034086,0.027107,0.042915,0.048021,0.025062,0.829999,132,0,0,0,349.228241,0.63,0.95,1
437,'2019/02/08 17:35:35:498',3,91.373253,145.74733,216.857025,228.475632,222.257843,245.201096,67.31707,137.497086,214.03717,234.084427,234.648422,254.193542,0.034833,0.045062,0.01795,0.044877,0.046646,0.025358,0.829999,132,0,0,0,349.228241,0.63,0.95,1
438,'2019/02/08 17:35:35:499',3,91.373253,145.74733,216.857025,228.475632,222.257843,245.201096,67.31707,137.497086,214.03717,234.084427,234.648422,254.193542,0.034833,0.045062,0.01795,0.044877,0.046646,0.025358,0.829999,132,0,0,0,349.228241,0.63,0.95,1
439,'2019/02/08 17:35:35:567',3,85.65155,139.516235,209.317749,225.177765,222.442108,240.605392,70.025726,137.291229,208.524246,228.184814,233.390961,247.815628,0.034039,0.043054,0.020291,0.040682,0.049098,0.025919,0.829999,132,0,0,0,349.228241,0.63,0.95,1
440,'2019/02/08 17:35:35:567',3,85.65155,139.516235,209.317749,225.177765,222.442108,240.605392,70.025726,137.291229,208.524246,228.184814,233.390961,247.815628,0.034039,0.043054,0.020291,0.040682,0.049098,0.025919,0.829999,132,0,0,0,349.228241,0.63,0.95,1
441,'2019/02/08 17:35:35:633',3,80.903831,133.911041,207.31781,223.419769,216.534607,237.739899,73.246719,136.403168,210.222855,231.797623,234.847519,251.031647,0.033356,0.045405,0.019151,0.04643,0.046746,0.030696,0.829999,132,0,0,0,349.228241,0.63,0.95,1
442,'2019/02/08 17:35:35:633',3,80.903831,133.911041,207.31781,223.419769,216.534607,237.739899,73.246719,136.403168,210.222855,231.797623,234.847519,251.031647,0.033356,0.045405,0.019151,0.04643,0.046746,0.030696,0.829999,132,0,0,0,349.228241,0.63,0.95,1
443,'2019/02/08 17:35:35:698',3,91.668808,145.763901,218.087143,232.922867,234.504715,235.693619,76.340996,136.95668,209.323196,227.694214,235.378387,245.085007,0.03408,0.04491,0.011441,0.048601,0.048005,0.027367,0.829999,132,0,0,0,349.228241,0.63,0.95,1
444,'2019/02/08 17:35:35:698',3,91.668808,145.763901,218.087143,232.922867,234.504715,235.693619,76.340996,136.95668,209.323196,227.694214,235.378387,245.085007,0.03408,0.04491,0.011441,0.048601,0.048005,0.027367,0.829999,132,0,0,0,349.228241,0.63,0.95,1
445,'2019/02/08 17:35:35:765',3,74.872322,125.990273,199.593979,230.811691,232.492676,235.95401,87.985481,155.023361,226.593124,236.109146,237.244659,243.664352,0.033152,0.045839,0.022263,0.042818,0.046052,0.015425,0.829999,132,0,0,0,349.228241,0.63,0.95,1
446,'2019/02/08 17:35:35:765',3,74.872322,125.990273,199.593979,230.811691,232.492676,235.95401,87.985481,155.023361,226.593124,236.109146,237.244659,243.664352,0.033152,0.045839,0.022263,0.042818,0.046052,0.015425,0.829999,132,0,0,0,349.228241,0.63,0.95,1
447,'2019/02/08 17:35:35:835',3,75.453079,140.418854,203.594559,215.673416,208.289581,233.277542,84.416336,157.423431,226.223648,235.381439,234.880905,244.449051,0.042002,0.039661,0.017861,0.046831,0.04356,0.015786,0.829999,132,0,0,0,349.228241,0.63,0.95,1
448,'2019/02/08 17:35:35:835',3,75.453079,140.418854,203.594559,215.673416,208.289581,233.277542,84.416336,157.423431,226.223648,235.381439,234.880905,244.449051,0.042002,0.039661,0.017861,0.046831,0.04356,0.015786,0.829999,132,0,0,0,349.228241,0.63,0.95,1
449,'2019/02/08 17:35:35:902',3,75.49543,139.681183,203.390717,215.100998,211.353027,234.219757,74.256683,139.267517,211.002304,230.905579,237.122559,250.590103,0.038224,0.03938,0.017122,0.044752,0.04697,0.030231,0.829999,132,0,0,0,349.228241,0.63,0.95,1
450,'2019/02/08 17:35:35:902',3,75.49543,139.681183,203.390717,215.100998,211.353027,234.219757,74.256683,139.267517,211.002304,230.905579,237.122559,250.590103,0.038224,0.03938,0.017122,0.044752,0.04697,0.030231,0.829999,132,0,0,0,349.228241,0.63,0.95,1
451,'2019/02/08 17:35:35:973',3,78.286079,142.00209,203.222916,216.947205,205.492142,236.369614,81.000305,136.33696,208.317139,226.28418,225.695633,243.797318,0.039276,0.038157,0.018771,0.049138,0.048182,0.027054,0.829999,132,0,0,0,349.228241,0.63,0.95,1
452,'2019/02/08 17:35:35:973',3,78.286079,142.00209,203.222916,216.947205,205.492142,236.369614,81.000305,136.33696,208.317139,226.28418,225.695633,243.797318,0.039276,0.038157,0.018771,0.049138,0.048182,0.027054,0.829999,132,0,0,0,349.228241,0.63,0.95,1
453,'2019/02/08 17:35:36:042',3,81.864655,150.183243,205.984802,218.756393,219.410736,236.774414,85.228859,150.322006,210.895142,226.60025,233.079987,244.687653,0.042064,0.035152,0.017486,0.04835,0.039439,0.026483,0.829999,132,0,0,0,349.228241,0.63,0.95,1
454,'2019/02/08 17:35:36:042',3,81.864655,150.183243,205.984802,218.756393,219.410736,236.774414,85.228859,150.322006,210.895142,226.60025,233.079987,244.687653,0.042064,0.035152,0.017486,0.04835,0.039439,0.026483,0.829999,132,0,0,0,349.228241,0.63,0.95,1
455,'2019/02/08 17:35:36:115',3,79.522049,144.551193,200.09726,215.094986,213.29213,232.198959,88.686516,152.307129,205.634613,220.405823,225.563477,239.155365,0.0407,0.033097,0.019656,0.041865,0.035002,0.026488,0.829999,132,0,0,0,349.228241,0.63,0.95,1
456,'2019/02/08 17:35:36:115',3,79.522049,144.551193,200.09726,215.094986,213.29213,232.198959,88.686516,152.307129,205.634613,220.405823,225.563477,239.155365,0.0407,0.033097,0.019656,0.041865,0.035002,0.026488,0.829999,132,0,0,0,349.228241,0.63,0.95,1
457,'2019/02/08 17:35:36:181',3,77.229568,143.264664,199.609741,213.584381,206.097885,231.007141,88.649109,151.843719,205.654678,219.917282,227.205017,238.93602,0.041218,0.033626,0.018868,0.041685,0.036154,0.025773,0.829999,132,0,0,0,349.228241,0.63,0.95,1
458,'2019/02/08 17:35:36:181',3,77.229568,143.264664,199.609741,213.584381,206.097885,231.007141,88.649109,151.843719,205.654678,219.917282,227.205017,238.93602,0.041218,0.033626,0.018868,0.041685,0.036154,0.025773,0.829999,132,0,0,0,349.228241,0.63,0.95,1
